source,source_id,name,aliases,raw_classes,piru_category,default_route,routes,units,dose_threshold,dose_light,dose_common,dose_strong,dose_heavy,onset,peak,total_duration,half_life_min,mechanism_summary,effects,indications,contraindications,regulatory_status,cas_no,chemical_formula,tags,sources_count,notes
medtap,5a8e1981564c99302a18bb99,Diphenhydramine,Nite Time Sleep Aid Liquidgels; Rx Act Ibuprofen Pm; diphenhydramine/ibuprofen; Smart Sense Allergy Relief; fexofenadine; Allergy; Nighttime Sleep Easy; Jet-asleep Double Strength Night Time Sleep Aid; Original Formula Motion Sickness Relief; dimenhydrinate; Wal-sleep Z; Motion Sickness Relief; meclizine; Childrens Wal-dryl Allergy; Healthy Accents Ibuprofen Pm; Aurodryl Childrens Allergy; Childrens Benadryl Dye-free Allergy; First Aid Shot Therapy Sleep Aid; Good Sense Allergy Relief; Nighttime Sleep-aid; Aller-g-time; Somnitabs; Good Sense Nighttime Sleep Aid; Shoprite Sleep Aid; Diphendydramine Hydrochloride; Sominex Max; Aphenap; Smart Sense Allergy; Bactimicina Childrens Allergy,OTHER,Other,oral,oral,,,,,,,,,,,"Absorption Quickly absorbed with maximum activity occurring in approximately one hour. Protein Binding 98 to 99% Metabolism Hepatic and renal Excretion Little, if any, is excreted unchanged in the urine; most appears as the degradation products of metabolic transformation in the liver, which are almost completely excreted within 24 hours. Half-life 1-4 hours",,Indications & Usage for the relief of occasional sleeplessness reduces time to fall asleep if you have difficulty falling asleep,"Warnings Do not use with any other product containing diphenhydramine, even one used on skin for children under 12 years of age with other drugs that cause drowsiness such as antihistamines, nighttime cold/flu products, and other nighttime sleep-aids Ask a doctor before use if you have a breathing problem such as asthma, emphysema, or chronic bronchitis glaucoma heart disease trouble urinating du…",OTC,,,OTHER,,
medtap,5a8e1981564c99302a18bb9e,Phenylephrine,"Daytime Nighttime Cold/flu; acetaminophen, dextromethorphan hbr, doxylamine succinate, phenylephrine hcl; Mucinex Fast-max Severe Cold; acetaminophen/dextromethorphan/guaifenesin/phenylephrine; Pressure Plus Pain Pe; acetaminophen/phenylephrine; Chloresin; Dibromm; brompheniramine/phenylephrine/dextromethorphan; Niva-hist Dm; Lil Drug Store Nyquil Severe; acetaminophen/phenylephrine/doxylamine/dextromethorphan; Effervescent Orange Cold Relief; phenylephrine/aspirin/chlorpheniramine; Topcare Daytime Severe Cold And Cough; acetaminophen/dextromethorphan/phenylephrine; Severe Cold Multi-symptom; Day Time Gelcap; Family Care Multi Symptom Cold; dextromethorphan/guaifenesin/phenylephrine; Daytime Cold Relief; Severe Cold; acetaminophen/diphenhydramine/phenylephrine; Multi-symptom Wal-phed Pe; Comtrex; Cold Multi-symptom Severe; Leader Tussin Cf Max; Childrens Plus Multi Symptom Cold; acetaminophen/chlorpheniramine/dextromethorphan/phenylephrine; Acetaminophen Dextromethorphan Hbr Doxylamine Succinate Phenylephrine Hcl; dextromethorphan/acetaminophen/doxylamine/phenylephrine; Cold, Flu And Sore Throat; Head Congestion And Cold Relief; Topcare Night Time Severe Cold And Cough; Supress Dx Pediatric Drops; guaifenesin/dextromethorphan/phenylephrine; Wal Tussin Cf; Sinus Relief Headache Nasal; Nighttime Sinus Relief; acetaminophen/doxylamine/phenylephrine; Giltuss Total Release; Quality Choice Night Time Severe Cold And Cough; Triaminic; dextromethorphan/guaifenesin; Topcare Childrens Cold And Cough; brompheniramine/dextromethorphan/phenylephrine; Tussin Severe Multi Symptom Cough Cold Plus Flu Cf Max; Daytime Nitetime Cold Flu Relief; acetaminophen, dextromethorphan hbr, phenylephrine hcl, doxylamine succinate; Topcare Tussin; Healthy Accents Cold And Flu; Childrens Dimetapp Cold And Allergy; brompheniramine/phenylephrine; Multi Symptom Severe Cold; Pain And Sinus Reliever; Alka-seltzer Plus Day Cold And Flu; Smart Sense Cold And Allergy; phenylephrine/brompheniramine; Flu Relief; Childrens Tussnex; acetaminophen/dextromethorphan/phenylephrine/guaifenesin; Kroger Cough Cold And Flu; choline/phenylephrine/dextromethorphan/guaifenesin; Allergy And Sinus Headache; Sudafed Pe Pressure Plus Pain Plus Mucus; acetaminophen/guaifenesin/phenylephrine; Childrens Tylenol; acetaminophen; Allerfed Cold And Allergy Pe; chlorpheniramine/phenylephrine; Promethazine Hydrochloride Phenylephrine Hydrochloride And Codeine Phosphate; promethazine/phenylephrine/codeine; Alka-seltzer Plus Cold And Cough Formula; aspirin/chlorpheniramine/dextromethorphan/phenylephrine; Health Mart Cold And Allergy; Meijer Daytime Severe Cold And Cough; Pressure And Pain Pe Plus Cough; Sinus Congestion And Pain Severe; D Time Sinus; Pressure And Pain Pe Plus Cold; Max Cold, Flu, And Sore Throat; Decongestant Pe; Fast Cold And Flu Relief; Pressure And Pain Pe Plus Mucus; Altidome; Severe Daytime; Deconex Ir; guaifenesin/phenylephrine; Cold And Congestion; diphenhydramine/phenylephrine; Mucus Relief Cold Flu Sore Throat; Vicks Dayquil And Vicks Nyquil Cherry; acetaminophen, dextromethorphan hydrobromide, phenylephrine hydrochloride, and doxylamine succinate; Allergy Multi-symptom; acetaminophen/chlorpheniramine/phenylephrine; Severe Allergy And Sinus Headache; Day Time Cold Flu Medicine; Shoprite Childrens Cold And Cough; Day Time Severe Cold And Cough; Smart Sense Cold Flu And Sore Throat; Texaclear Kids Sinus Relief; thonzylamine/phenylephrine; Multi-symptom Daytime; Walgreens Sugar Free Nighttime Wal-flu Severe Cold And Cough; Leader Mucus Relief; Cold Multi-symptom Daytime; Cvs Pharmacy Daytime Severe Cough And Cold; Childrens Delsym; Top Value Effervescent Cold Relief; aspirin/phenylephrine/chlorpheniramine; Good Sense Daytime; Topcare Day Time Cold And Flu Severe; Good Sense Mucus Relief; Tabcin; Health Mart Cold And Cough; Alka-seltzer Plus Severe Sinus Congestion And Cough Liquid Gels Day; dextromethorphan/phenylephrine/acetaminophen; Promethazine Hcl, Phenylephrine Hcl, Codeine Phosphate; Walgreens Severe Cold Multi-symptom For Adults; Relcof Ir; Sohmed Allergy Sinus; Giltuss; Alahist Cf; dexbrompheniramine/dextromethorphan/phenylephrine; Leader Severe Cold And Flu; Dimaphen Dm; Severe Sinus Pain And Congestion; Coltalin-dm; Alka Seltzer Plus Cold; aspirin/chlorpheniramine/phenylephrine; Equaline Mucus Relief; Sunmark Cold And Allergy; G-supress Dx; Refenesen Chest Congestion Relief; Night Cold Flu Cough And Allergy; acetaminophen/dextromethorphan/doxylamine/phenylephrine; Daytime Severe Cold And Cough Relief; Severe Sinus Congestion Allergy And Cough Formula; Good Neighbor Pharmacy Mucus Relief; Cvs - Childrens Stuffy Nose And Cold; 7 Select Day Time Relief; Daytime Cough; Night Time Severe Cold And Cough; Healthy Accents Multi Symptom Cold; Coldtac Ultra; Topcare Allergy Multi Symptom; Norel Ad; Childrens Dimetapp Cold And Cough",OTHER; Opioid Agonist,Opioid,oral,oral,,,,,,,,,,,"Absorption phenylephrine: Completely absorbed after oral administration. It has a reduced bioavailability (compared to pseudoephedrine) following oral administration due to significant first-pass metabolism in the intestinal wall. Compared to IV administration, bioavailability is approximately 38%. Peak serum concentrations are achieved approximately 0.75-2 hours following oral administration. Ph…",,"Indications & Usage Daytime cold and flu: pain reliever, cough suppressant and Nasal decongestant NightTime Cold and Flu: pain reliever, cough suppressant and Antihistamine",Warnings Warnings Failure to follow these warnings could result in serious consequences. Liver Warning: This product contains acetaminophen . Severe liver damage may occur if you take more than 4 doses in 24 hours which is maximum daily amount for this product with other drugs containing acetaminophen 3 or more alcoholic drinks daily while using this product do not use: with any other drug contai…,OTC,,,OTHER; Opioid Agonist,,
medtap,5a8e1981564c99302a18bb9c,Asparaginase,Erwinaze,Asparagine-specific Enzyme,Other,intramuscular,intramuscular,,,,,,,,,,,"Half-life 8-30 hrs Mechanism Of Action Asparaginase Erwinia chrysanthemi catalyzes the deamidation of asparagine to aspartic acid and ammonia, resulting in a reduction in circulating levels of asparagine. The mechanism of action of Erwinaze is thought to be based on the inability of leukemic cells to synthesize asparagine due to lack of asparagine synthetase activity, resulting in cytotoxicity sp…",,Indications & Usage Erwinaze (asparaginase Erwinia chrysanthemi ) is an asparagine specific enzyme indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL) who have developed hypersensitivity to coli -derived asparaginase. Indications & Usage Erwinaze (asparaginase Erwinia chrysanthemi ) is indicated as a component of…,"Contraindications History of serious hypersensitivity reactions to Erwinaze, including anaphylaxis History of serious pancreatitis with prior L-asparaginase therapy History of serious thrombosis with prior L-asparaginase therapy History of serious hemorrhagic events with prior L-asparaginase therapy Warnings And Precautions If the following occur, discontinue Erwinaze: Serious hypersensitivity re…",Rx,,,Asparagine-specific Enzyme,,
medtap,5a8e1981564c99302a18bb9a,Acetaminophen,"Acetaminophen / Diphenhydramine 500/25 Mg; diphenhydramine/acetaminophen; Gripmax; acetaminophen/pseudoephedrine/dextromethorphan; Dologen; dexbrompheniramine/acetaminophen; Basic Care Nighttime; acetaminophen/dextromethorphan/doxylamine; Gesteira; Dg Health Infants Pain And Fever; Leader Acetaminophen; Equaline Arthritis; Pain Free; acetaminophen/aspirin/caffeine/salicylamide; Extra Strength Aspirin Free Pain Relief; Circle K Pain Reliever; Acetaminophen, Caffeine, Dihydrocodeine Bitartrate; acetaminophen/caffeine/dihydrocodeine; Stona For Children; acetaminophen/chlorpheniramine/dextromethorphan; Non-aspirin; Leader Headache Pm Formula; acetaminophen/diphenhydramine; Extra Strength Headache Relief; acetaminophen/aspirin/caffeine; Harmon Face Values Night Time Relief; Pain Relief Acetaminophen Pm; Night Time Cold/flu Relief Original; Extra Strength Acetaminohpen; Leader Childrens Pain And Fever; Nyquil; Rapid Release Acetaminophen; Pain Aid Brf; magnesium/acetaminophen; Leader Pain Relief; Feverall; Infants Mapap; Pain Relief Acetaminophen; Percogesic Extra Strength; Signature Care Pain Relief; naproxen; Histaflex; acetaminophen/pyrilamine; Pain Free Plus; Hydrocodone/apap; hydrocodone/acetaminophen; High Blood Pressure Cold And Flu; acetaminophen/chlorpheniramine; Hydrocodone Bitartrate And Acetaminophen; Sunmark Pain Reliever; Unisom Pm Pain Nighttime Sleep Aid And Pain Reliever; Harris Teeter Acetaminophen Pm; Dye Free Pain And Fever; Medi First Cramp; acetaminophen/pamabrom; Up And Up Infants Acetaminophen; Pamprin Multisymptom Menstrual Pain Relief; acetaminophen/pamabrom/pyrilamine; Tramadol Hcl And Acetaminophen; tramadol/acetaminophen; Aceta-gesic; Hydrocodone Bitatrate And Acetaminophen; Duralgina; Sunmark Nite Time; Acetaminophen Pm; Ohm 8 Hour Pain Reliever/fever Reducer; Preferred Plus Arthritis Pain; Butalbital Acetaminophen And Caffeine; butalbital/acetaminophen/caffeine; Flu Hbp; Valumeds Extra Strength Pain Relief; Night-time Cherry; Acetaminophen,dextromethorphan,doxylamine; Night Time Gelcap; Extra Strength Mapap; Cvs Nighttime Cold/flu Relief; Health Mart Multi-symptom Cold And Flu Night Time; Health Mart Night Time; N - Time; acetaminophen/doxylamine/dextromethorphan; Pain Relief Easy Tabs; Night Time; Pain Relief Maximum Strength; Careall Non-aspirin Pm; Non-aspirin Acetaminophen; Careone Acetaminophen; Pain Reliever Sleep Aid; Leader Migraine Relief; Multi Symptom Nighttime; 7 Select Childrens Pain Relief; Comfort-time; acetaminophen/caffeine/pyrilamine; Acetaminophen Rapid Tabs",OTHER; Opioid Agonist; Methylxanthine,Opioid,oral,oral,,,,,,,,,,,"Absorption acetaminophen: Rapid and almost complete diphenhydramine: Quickly absorbed with maximum activity occurring in approximately one hour. Protein Binding acetaminophen: 25% diphenhydramine: 98 to 99% Metabolism acetaminophen: Acetaminophen primarily undergoes glucuronidation (45-55% of the dose) in which this process is facilitated by UGT1A1, UGT1A6, UGT1A9, UGT2B15 in the liver or UGT1A10…",,Indications & Usage temporarily relieves occasional headaches and minor aches and pains with accompanying sleeplessness,"Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours which is the maximum daily amount with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product",OTC,,,OTHER; Opioid Agonist; Methylxanthine,,
medtap,5a8e1981564c99302a18bb9d,sodium,Plus White Super White Tooth With Peroxide; sodium; Up And Up Sensitive Maximum Strength Mint; potassium/sodium; Pine Salt 170g; Truly Radiant; Goodsense Sensitive Extra Whitening; Anticavity Rinse Fluoride Rinse; Sensitive Anti-cavity; Anticavity Rinse; Dr. Sheffield Fluoride Anticavity; Listerine Healthy White Anticavity Fluoride Gentle Clean Mint; Discount Drug Mart; eucalyptol/menthol/methyl salicylate/thymol; Pororo Toothpas Te Mixed Fruits; Anti Cavity Fluoride; Kids Anticavity,OTHER,Other,oral,oral,,,,,,,,,,,,,Indications & Usage aids in the prevention of dental cavities and removal of stains,"Warnings Keep out of reach of children under 6 years of age. If more the used for brushing in accidentally swallowed, get medical help or contact a Poison Control Center right away.",OTC,,,OTHER,,
medtap,5a8e1981564c99302a18bba6,Asenapine,Saphris,Atypical Antipsychotic,Antipsychotic,sublingual,sublingual,,,,,,,,,,,"Absorption Cmax, single 5 mg dose = 4 ng/mL (within 1 hour); Volume Of Distribution 20-25 L/kg Protein Binding 95% protein bound Metabolism Asenapine is oxidized via CYP1A2 and undergoes direct glucuronidation via UGT1A4. Oxidation via CYP1A2 is asenapine's primary mode of metabolism. Excretion Urine (50%) and feces (50%) Half-life 24 hours (range of 13.4 - 39.2 hours) Mechanism Of Action The mec…",,"Indications & Usage Saphris is an atypical antipsychotic indicated for : Schizophrenia in adults Bipolar I disorder Acute monotherapy treatment of manic or mixed episodes, in adults and pediatric patients 10 to 17 years of age Adjunctive treatment to lithium or valproate in adults Maintenance monotherapy treatment in adults Indications & Usage Saphris is indicated for: Schizophrenia in adults Bip…","Contraindications Severe hepatic impairment (Child-Pugh C). Known hypersensitivity to Saphris (asenapine), or to any components in the formulation. Warnings And Precautions Cerebrovascular Adverse Reactions in Elderly Patients with Dementia-Related Psychosis: Increased incidence of cerebrovascular adverse reactions (e.g., stroke, transient ischemic attack). Neuroleptic Malignant Syndrome: Manage …",Rx,,,Atypical Antipsychotic,,
medtap,5a8e1981564c99302a18bba3,Famotidine,Good Neighbor Pharmacy Acid Reducer; Good Sense Acid Reducer; ranitidine; Up And Up Famotidine; 7 Select Acid Controller; Signature Care Acid Controller; Sunmark Dual Action Complete; famotidine/magnesium/calcium,OTHER; Histamine-2 Receptor Antagonist,Other,oral,oral,,,,,,,,,,,"Absorption The bioavailability of oral doses is 40-45%. Protein Binding 15-20% Metabolism Hepatic. Excretion Renal clearance is 250-450 mL/min, indicating some tubular excretion. Half-life 2.5-3.5 hours Clearance * renal cl=250-450 mL/min",,Indications & Usage relieves heartburn associated with acid indigestion and sour stomach prevents heartburn associated with acid indigestion and sour stomach brought on by eating or drinking certain food and beverages,"Warnings Allergy alert: Do not use if you are allergic to famotidine or other acid reducers Do not use if you have trouble or pain swallowing food, vomiting with blood, or bloody or black stools. These may be signs of a serious condition. See your doctor. with other acid reducers Ask a doctor before use if you have had heartburn over 3 months. This may be a sign of a more serious condition. heart…",OTC,,,OTHER; Histamine-2 Receptor Antagonist,,
medtap,5a8e1981564c99302a18bba4,Levonorgestrel,Amethia; Ayuna; Daysee; Camrese Lo; levonorgestrel/ethinyl estradiol and ethinyl estradiol; Econtra Ez; Levonest,OTHER,Other,oral,,,,,,,,,,,,Mechanism Of Action COCs lower the risk of becoming pregnant primarily by suppressing ovulation. Other possible mechanisms may include cervical mucus changes that inhibit sperm penetration and endometrial changes that reduce the likelihood of implantation. Pharmacokinetics Absorption Ethinyl estradiol and levonorgestrel are absorbed with maximum plasma concentrations occurring within 2 hours afte…,,Indications & Usage Amethia tablets are an estrogen/progestin COC indicated for use by women to prevent pregnancy. Indications & Usage Amethia tablets are indicated for use by women to prevent pregnancy.,"Contraindications A high risk of arterial or venous thrombotic diseases Undiagnosed abnormal genital bleeding Breast cancer or other estrogen- or progestin-sensitive cancer Liver tumors or liver disease Pregnancy Co-administration with Hepatitus C drug combinations containing ombitasvir/paritaprevir/ritonavir, with or without dasabuvir Warnings And Precautions Vascular risks: Stop Amethia tablets…",Rx,,,OTHER,,
medtap,5a8e1981564c99302a18bba1,lisinopril,Lisinopril 2.5mg; lisinopril; Qbrelis,Angiotensin Converting Enzyme Inhibitor,Other,oral,oral,,,,,,,,,,,,,"Indications & Usage Hypertension Lisinopril tablets USP are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure lowers the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including lisin…",Contraindications Lisinopril is contraindicated in patients who are hypersensitive to this product and in patients with a history of angioedema related to previous treatment with an angiotensin-converting enzyme inhibitor and in patients with hereditary or idiopathic angioedema. Warnings Anaphylactoid and Possibly Related Reactions Presumably because angiotensin-converting enzyme inhibitors affec…,Rx,,,Angiotensin Converting Enzyme Inhibitor,,
medtap,5a8e1981564c99302a18bba0,Cetirizine,All Day Allergy; Childrens Cetirizine Hydrochloride Allergy; 24 Hour Allergy; Good Neighbor Pharmacy Childrens All Day Allergy; Kirkland Signature Aller Tec; Leader All Day Allergy; Harris Teeter All Day Allergy,OTHER,Other,oral,oral,,,,,,,,,,,Absorption mean peak plasma concentration (Cmax) of 114 ng/mL at a time (Tmax) of 2.2 hours postdose was observed for cetirizine Protein Binding Very high (93%) plasma protein binding Half-life 8.3 hours Clearance * 53 mL/min [healthy],,"Indications & Usage temporarily relieves these symptoms due to hay fever or other upper respiratory allergies: runny nose sneezing itchy, watery eyes itching of the nose or throat",Warnings Do not use if you have ever had an allergic reaction to this product or any of its ingredients or to an antihistamine containing hydroxyzine. Ask a doctor before use if you have liver or kidney disease. Your doctor should determine if you need a different dose. Ask a doctor or pharmacist before use if you are taking tranquilizers or sedatives. When using this product drowsiness may occur…,OTC,,,OTHER,,
